"Nom du site","Type","Adresse","Latitude","Longitude","Nom vernaculaire","Nom scientifique","cd_nom (taxref)","URL fiche espèce","Période d'observation","Source"
"Jardin de la Colline Puget","Parc public","Rue de l'Abbe d'Assy 13007 Marseille","43.2893799058432","5.37024052725475","Epervier d'Europe","Accipiter nisus",2895,"https://inpn.mnhn.fr/espece/cd_nom/2895","2011-2018","FAUNE-PACA"
"Jardin de la Colline Puget","Parc public","Rue de l'Abbe d'Assy 13007 Marseille","43.2893799058432","5.37024052725475","Martinet noir","Apus apus",3551,"https://inpn.mnhn.fr/espece/cd_nom/3551","2011-2018","FAUNE-PACA"
"Jardin de la Colline Puget","Parc public","Rue de l'Abbe d'Assy 13007 Marseille","43.2893799058432","5.37024052725475","Martinet pâle","Apus pallidus",3555,"https://inpn.mnhn.fr/espece/cd_nom/3555","2011-2018","FAUNE-PACA"
"Jardin de la Colline Puget","Parc public","Rue de l'Abbe d'Assy 13007 Marseille","43.2893799058432","5.37024052725475","Chardonneret élégant","Carduelis carduelis",4583,"https://inpn.mnhn.fr/espece/cd_nom/4583","2011-2018","FAUNE-PACA"
"Jardin de la Colline Puget","Parc public","Rue de l'Abbe d'Assy 13007 Marseille","43.2893799058432","5.37024052725475","Verdier d'Europe","Chloris chloris",4582,"https://inpn.mnhn.fr/espece/cd_nom/4582","2011-2018","FAUNE-PACA"
"Jardin de la Colline Puget","Parc public","Rue de l'Abbe d'Assy 13007 Marseille","43.2893799058432","5.37024052725475","Pigeon biset domestique","Columba livia domestica",3420,"https://inpn.mnhn.fr/espece/cd_nom/3420","2011-2018","FAUNE-PACA"
"Jardin de la Colline Puget","Parc public","Rue de l'Abbe d'Assy 13007 Marseille","43.2893799058432","5.37024052725475","Choucas des tours","Corvus monedula",4494,"https://inpn.mnhn.fr/espece/cd_nom/4494","2011-2018","FAUNE-PACA"
"Jardin de la Colline Puget","Parc public","Rue de l'Abbe d'Assy 13007 Marseille","43.2893799058432","5.37024052725475","Mésange bleue","Cyanistes caeruleus",534742,"https://inpn.mnhn.fr/espece/cd_nom/534742","2011-2018","FAUNE-PACA"
"Jardin de la Colline Puget","Parc public","Rue de l'Abbe d'Assy 13007 Marseille","43.2893799058432","5.37024052725475","Rougegorge familier","Erithacus rubecula",4001,"https://inpn.mnhn.fr/espece/cd_nom/4001","2011-2018","FAUNE-PACA"
"Jardin de la Colline Puget","Parc public","Rue de l'Abbe d'Assy 13007 Marseille","43.2893799058432","5.37024052725475","Pinson des arbres","Fringilla coelebs",4564,"https://inpn.mnhn.fr/espece/cd_nom/4564","2011-2018","FAUNE-PACA"
